Month,Red
1/1/1980,464
2/1/1980,675
3/1/1980,703
4/1/1980,887
5/1/1980,1139
6/1/1980,1077
7/1/1980,1318
8/1/1980,1260
9/1/1980,1120
10/1/1980,963
11/1/1980,996
12/1/1980,960
1/1/1981,530
2/1/1981,883
3/1/1981,894
4/1/1981,1045
5/1/1981,1199
6/1/1981,1287
7/1/1981,1565
8/1/1981,1577
9/1/1981,1076
10/1/1981,918
11/1/1981,1008
12/1/1981,1063
1/1/1982,544
2/1/1982,635
3/1/1982,804
4/1/1982,980
5/1/1982,1018
6/1/1982,1064
7/1/1982,1404
8/1/1982,1286
9/1/1982,1104
10/1/1982,999
11/1/1982,996
12/1/1982,1015
1/1/1983,615
2/1/1983,722
3/1/1983,832
4/1/1983,977
5/1/1983,1270
6/1/1983,1437
7/1/1983,1520
8/1/1983,1708
9/1/1983,1151
10/1/1983,934
11/1/1983,1159
12/1/1983,1209
1/1/1984,699
2/1/1984,830
3/1/1984,996
4/1/1984,1124
5/1/1984,1458
6/1/1984,1270
7/1/1984,1753
8/1/1984,2258
9/1/1984,1208
10/1/1984,1241
11/1/1984,1265
12/1/1984,1828
1/1/1985,809
2/1/1985,997
3/1/1985,1164
4/1/1985,1205
5/1/1985,1538
6/1/1985,1513
7/1/1985,1378
8/1/1985,2083
9/1/1985,1357
10/1/1985,1536
11/1/1985,1526
12/1/1985,1376
1/1/1986,779
2/1/1986,1005
3/1/1986,1193
4/1/1986,1522
5/1/1986,1539
6/1/1986,1546
7/1/1986,2116
8/1/1986,2326
9/1/1986,1596
10/1/1986,1356
11/1/1986,1553
12/1/1986,1613
1/1/1987,814
2/1/1987,1150
3/1/1987,1225
4/1/1987,1691
5/1/1987,1759
6/1/1987,1754
7/1/1987,2100
8/1/1987,2062
9/1/1987,2012
10/1/1987,1897
11/1/1987,1964
12/1/1987,2186
1/1/1988,966
2/1/1988,1549
3/1/1988,1538
4/1/1988,1612
5/1/1988,2078
6/1/1988,2137
7/1/1988,2907
8/1/1988,2249
9/1/1988,1883
10/1/1988,1739
11/1/1988,1828
12/1/1988,1868
1/1/1989,1138
2/1/1989,1430
3/1/1989,1809
4/1/1989,1763
5/1/1989,2200
6/1/1989,2067
7/1/1989,2503
8/1/1989,2141
9/1/1989,2103
10/1/1989,1972
11/1/1989,2181
12/1/1989,2344
1/1/1990,970
2/1/1990,1199
3/1/1990,1718
4/1/1990,1683
5/1/1990,2025
6/1/1990,2051
7/1/1990,2439
8/1/1990,2353
9/1/1990,2230
10/1/1990,1852
11/1/1990,2147
12/1/1990,2286
1/1/1991,1007
2/1/1991,1665
3/1/1991,1642
4/1/1991,1518
5/1/1991,1831
6/1/1991,2207
7/1/1991,2822
8/1/1991,2393
9/1/1991,2306
10/1/1991,1785
11/1/1991,2047
12/1/1991,2171
1/1/1992,1212
2/1/1992,1335
3/1/1992,2011
4/1/1992,1860
5/1/1992,1954
6/1/1992,2152
7/1/1992,2835
8/1/1992,2224
9/1/1992,2182
10/1/1992,1992
11/1/1992,2389
12/1/1992,2724
1/1/1993,891
2/1/1993,1247
3/1/1993,2017
4/1/1993,2257
5/1/1993,2255
6/1/1993,2255
7/1/1993,3057
8/1/1993,3330
9/1/1993,1896
10/1/1993,2096
11/1/1993,2374
12/1/1993,2535
1/1/1994,1041
2/1/1994,1728
3/1/1994,2201
4/1/1994,2455
5/1/1994,2204
6/1/1994,2660
7/1/1994,3670
8/1/1994,2665
9/1/1994,2639
10/1/1994,2226
11/1/1994,2586
12/1/1994,2684
